,Unnamed: 0,CITYHCR,HCTMULT,NAMEHCR,RSSDHCR,STALPHCR
3572,80876,CAMP HILL,ONE,LINKBANCORP,5272361,PA
3573,80879,MORRILTON,ONE,"PETIT JEAN BANCSHARES, INC.",2877402,AR
3574,80924,LORAIN,ONE,"BUCKEYE BANCSHARES, INC.",2836294,OH
3575,80925,BOISE,ONE,IDAHO TRUST BANCORP,3439713,ID
3576,80927,MOLINE,ONE,MCLAUGHLIN HOLDING COMPANY,1203161,IL
3577,80934,MIDLOTHIAN,ONE,VILLAGE BANK AND TRUST FINANCIAL CORP.,3251027,VA
3578,80944,WEDOWEE,ONE,"EAST ALABAMA FINANCIAL GROUP, INC.",2804855,AL
3579,80950,DEARBORN,ONE,"AUTO CLUB GROUP, THE",4265508,MI
3580,80951,MILFORD,ONE,"CENTERGROUP FINANCIAL, INC.",4415693,OH
3581,80954,WICHITA,ONE,"COMMUNITY STATE BANCSHARES, INC.",2774305,KS
3582,80956,STERLING,ONE,"SV FINANCIAL, INC.",3093919,IL
3583,80971,FORT LEE,ONE,NMB FINANCIAL CORPORATION,5011832,NJ
3584,80978,SAN ANTONIO,ONE,FB BANCORP,3818822,TX
3585,80980,MURRAY,ONE,"BANCKENTUCKY, INC.",3832592,KY
3586,80991,LYNCHBURG,ONE,"BANK OF THE JAMES FINANCIAL GROUP, INC.",3217032,VA
3587,81009,MERRITT ISLAND,ONE,"CBOS BANKSHARES, INC.",3450530,FL
3588,81012,FLORENCE,ONE,"FIRST RELIANCE BANCSHARES, INC.",3070312,SC
3589,81023,NORTH PALM BEACH,ONE,FLAGLER BANCSHARES CORPORATION,4899967,FL
3590,81026,RIVERTON,ONE,"WYOMING NATIONAL BANCORPORATION, INC.",2910970,WY
3591,81028,HUNTINGBURG,ONE,FREEDOM BANCORP,3575787,IN
3592,81041,OAK BROOK,ONE,"BANCORP FINANCIAL, INC.",3477425,IL
3593,81044,CARTERSVILLE,ONE,CBB BANCORP,3236640,GA
3594,81047,MOLINE,ONE,DEERE & COMPANY INC.,1277313,IL
3595,81048,COLUMBIA,ONE,SCCB FINANCIAL CORPORATION,3334489,SC
3596,81049,CORDOVA,ONE,"FIRST ALLIANCE BANCSHARES, INC.",3640041,TN
3597,81053,DULUTH,ONE,"COMMUNITY FINANCIAL HOLDING COMPANY, INC.",3101010,GA
3598,81056,ASHLAND CITY,ONE,"TENNESSEE COMMUNITY BANK HOLDINGS, INC.",3213847,TN
3599,81061,LONGVIEW,ONE,"TWIN CITY BANCORP, INC.",3289477,WA
3600,81063,LURAY,ONE,"BLUE RIDGE BANKSHARES, INC.",1426960,VA
3601,81072,CASSVILLE,ONE,"FREEDOM BANCSHARES OF SOUTHERN MISSOURI, INC.",3216754,MO
3602,81077,ROCKVILLE,ONE,"CAPITAL BANCORP, INC.",2808590,MD
3603,81083,MOUNT LAUREL,ONE,CORNERSTONE FINANCIAL CORPORATION,3831513,NJ
3604,81089,LAWRENCE,ONE,"FIRST FINANCIAL BANCSHARES, INC.",3385137,KS
3605,81094,GREENVILLE,ONE,"SOUTHERN FIRST BANCSHARES, INC.",2849799,SC
3606,81106,SAULT SAINTE MARIE,ONE,"OLD MISSION BANCORP, INC.",2839044,MI
3607,81108,MELBOURNE,ONE,"RESERVE FINANCIAL ASSOCIATES, LLC",3488234,FL
3608,81109,BIRMINGHAM,ONE,"ALAMERICA BANCCORP, INC.",3047583,AL
3609,81115,MURRAY,ONE,ALL WEST BANCORP,3157549,UT
3610,81117,IRVINE,ONE,CALIFORNIA FIRST NATIONAL BANCORP,2907381,CA
3611,81118,FITCHBURG,ONE,"OAK FINANCIAL, INC.",2857598,WI
3612,81129,RANCHO CORDOVA,ONE,FIVE STAR BANCORP,3162927,CA
3613,81135,OAK RIDGE,ONE,"OAK RIDGE FINANCIAL SERVICES, INC.",3587427,NC
3614,81139,CHINO,ONE,CHINO COMMERCIAL BANCORP,3441275,CA
3615,81147,YOUNGSTOWN,ONE,UNITED COMMUNITY FINANCIAL CORPORATION,3831250,OH
