,Unnamed: 0,ADDRESS,ASSET,BKCLASS,CALL,CERT,CHARTER,CHRTAGNN,CHRTAGNT,CITY,CLCODE,CNTRYNA,DENOVO,DEPDOM,DEPSUM,DOCKET,ESCROW,FDICDBS,FDICNAME,FED,FEDNAME,INSAGNT1,INSBRDD,INSBRTS,INSURED,NAMEFULL,OCCDIST,OCCNAME,REGAGNT,RSSDID,SPECDESC,SPECGRP,STALP,STCNTY,STNAME,UNIT,USA,ZIP
4908,55826,211 Commercial St.,144949.0,NM,CALL,16333,STATE,State Agency,STATE,Loomis,21,United States,0.0,120166.0,120166.0,0,,11,Kansas City,10,Kansas City,DIF,,,CB,First State Bank,4,Midwest District,FDIC,172859,AGRICULTURAL,2,NE,31137,Nebraska,0.0,1,68958
4910,55829,201 Main Street,137585.0,NM,CALL,16334,STATE,State Agency,STATE,Odem,21,United States,0.0,120214.0,120214.0,0,,13,Dallas,11,Dallas,DIF,,,CB,First State Bank of Odem,5,Southwest District,FDIC,776369,COMMERCIAL LENDING,4,TX,48409,Texas,0.0,1,78370
4913,55834,106 N. Main St,130100.0,NM,CALL,16339,STATE,State Agency,STATE,Stuart,21,United States,0.0,111576.0,111576.0,0,,11,Kansas City,10,Kansas City,DIF,,,CB,The Tri-County Bank,4,Midwest District,FDIC,657954,AGRICULTURAL,2,NE,31089,Nebraska,0.0,1,68780
4914,55837,215 South Main Street,58647.0,NM,CALL,16344,STATE,State Agency,STATE,Pearl City,21,United States,0.0,51663.0,51663.0,0,,9,Chicago,7,Chicago,DIF,,,CB,The State Bank of Pearl City,3,Central District,FDIC,923949,CONSUMER LENDING,6,IL,17177,Illinois,0.0,1,61062
4916,55839,106 South Second Street,39500.0,NM,CALL,16363,STATE,State Agency,STATE,Montezuma,21,United States,0.0,34638.0,34638.0,0,,11,Kansas City,7,Chicago,DIF,,,CB,Peoples Savings Bank,4,Midwest District,FDIC,1013744,AGRICULTURAL,2,IA,19157,Iowa,1.0,1,50171
4918,55841,301 South Edwards Street,146057.0,NM,CALL,16369,STATE,State Agency,STATE,Enterprise,21,United States,0.0,127735.0,127735.0,11094,,5,Atlanta,6,Atlanta,DIF,,,CB,The Citizens Bank,5,Southwest District,FDIC,374130,COMMERCIAL LENDING,4,AL,1031,Alabama,0.0,1,36330
4920,55843,144-146 East High Street,118727.0,NM,CALL,16370,STATE,State Agency,STATE,Hicksville,21,United States,0.0,100955.0,100955.0,13352,,9,Chicago,4,Cleveland,DIF,,,CB,The Hicksville Bank,3,Central District,FDIC,892223,COMMERCIAL LENDING,4,OH,39039,Ohio,0.0,1,43526
4922,55847,303 Section Line Road,374351.0,NM,CALL,16375,STATE,State Agency,STATE,Manteno,21,United States,0.0,321829.0,321829.0,9073,,9,Chicago,7,Chicago,DIF,,,CB,HomeStar Bank and Financial Services,3,Central District,FDIC,300036,COMMERCIAL LENDING,4,IL,17091,Illinois,0.0,1,60950
4923,55850,600 Main Street,59320.0,NM,CALL,16379,STATE,State Agency,STATE,Springfield,21,United States,0.0,52976.0,52976.0,15873,,11,Kansas City,10,Kansas City,DIF,,,CB,Springfield State Bank,4,Midwest District,FDIC,565152,AGRICULTURAL,2,NE,31153,Nebraska,1.0,1,68059
4925,55852,9402 North Main Street,69794.0,NM,CALL,16386,STATE,State Agency,STATE,Brantley,21,United States,0.0,58092.0,58092.0,14591,,5,Atlanta,6,Atlanta,DIF,,,CB,Brantley Bank and Trust Company,5,Southwest District,FDIC,411231,ALL OTHER < $1 BILLION,8,AL,1041,Alabama,0.0,1,36009
4927,55859,42 Plaza Drive,782415.0,NM,CALL,16389,STATE,State Agency,STATE,Travelers Rest,21,United States,0.0,693225.0,693225.0,10996,,5,Atlanta,5,Richmond,DIF,,,CB,Bank of Travelers Rest,1,Northeast District,FDIC,589523,COMMERCIAL LENDING,4,SC,45045,South Carolina,0.0,1,29690
4928,55863,121 South Broadway Street,44773.0,NM,CALL,16394,STATE,State Agency,STATE,Table Grove,21,United States,0.0,36361.0,36361.0,0,,9,Chicago,7,Chicago,DIF,,,CB,Table Grove State Bank,3,Central District,FDIC,411549,AGRICULTURAL,2,IL,17057,Illinois,1.0,1,61482
4929,55864,108 Ruby Street,69154.0,NM,CALL,16395,STATE,State Agency,STATE,Stephens,21,United States,0.0,61369.0,61369.0,0,,13,Dallas,8,St. Louis,DIF,,,CB,Security Bank,5,Southwest District,FDIC,741648,MORTGAGE LENDING,5,AR,5103,Arkansas,0.0,1,71764
4931,55868,340 West Main Street,107624.0,NM,CALL,16396,STATE,State Agency,STATE,Mayo,21,,0.0,98897.0,98897.0,0,,5,Atlanta,6,Atlanta,DIF,,,CB,Lafayette State Bank,5,Southwest District,FDIC,535931,AGRICULTURAL,2,FL,12067,Florida,0.0,1,32066
4933,55874,2130 South Ohio Street,709489.0,NM,CALL,16402,STATE,State Agency,STATE,Salina,21,United States,0.0,568089.0,568089.0,13539,,11,Kansas City,10,Kansas City,DIF,,,CB,The Bennington State Bank,4,Midwest District,FDIC,1016259,AGRICULTURAL,2,KS,20169,Kansas,0.0,1,67401
4935,55877,511 North Andover Road,106504.0,NM,CALL,16410,STATE,State Agency,STATE,Andover,21,United States,0.0,88730.0,88730.0,0,,11,Kansas City,10,Kansas City,DIF,,,CB,Andover State Bank,4,Midwest District,FDIC,225054,COMMERCIAL LENDING,4,KS,20015,Kansas,0.0,1,67002
4936,55878,108 East Main Street,75948.0,NM,CALL,16413,STATE,State Agency,STATE,Stronghurst,21,,0.0,62980.0,62980.0,0,,9,Chicago,7,Chicago,DIF,,,CB,Bank of Stronghurst,3,Central District,FDIC,593940,AGRICULTURAL,2,IL,17071,Illinois,0.0,1,61480
