,Unnamed: 0,ADDRESS,ASSET,BKCLASS,CALL,CERT,CHARTER,CHRTAGNN,CHRTAGNT,CITY,CLCODE,CNTRYNA,DENOVO,DEPDOM,DEPSUM,DOCKET,ESCROW,FDICDBS,FDICNAME,FED,FEDNAME,INSAGNT1,INSBRDD,INSBRTS,INSURED,NAMEFULL,OCCDIST,OCCNAME,REGAGNT,RSSDID,SPECDESC,SPECGRP,STALP,STCNTY,STNAME,UNIT,USA,ZIP
0,0,1 Lincoln St. Fl 1,238122000.0,SM,CALL,14,STATE,State Agency,STATE,Boston,13,United States,0.0,107288000.0,107288000.0,14278,,2,New York,1,Boston,DIF,,,CB,State Street Bank and Trust Company,1,Northeast District,FED,35301,INTERNATIONAL,1,MA,25025,Massachusetts,0.0,1,2111
2,3,100 North Gay Street,840083.0,SM,CALL,35,STATE,State Agency,STATE,Auburn,13,United States,0.0,742860.0,742860.0,9177,,5,Atlanta,6,Atlanta,DIF,,,CB,AuburnBank,5,Southwest District,FED,749635,COMMERCIAL LENDING,4,AL,1081,Alabama,0.0,1,36830
5,16,216 North Walnut Avenue,324549.0,NM,CALL,39,STATE,State Agency,STATE,Demopolis,21,United States,0.0,278014.0,278014.0,14095,,5,Atlanta,6,Atlanta,DIF,,,CB,Robertson Banking Company,5,Southwest District,FDIC,430036,COMMERCIAL LENDING,4,AL,1091,Alabama,0.0,1,36732
7,21,801 13th Street,195582.0,NM,CALL,41,STATE,State Agency,STATE,Phenix City,21,United States,0.0,155735.0,155735.0,14012,,5,Atlanta,6,Atlanta,DIF,,,CB,Phenix-Girard Bank,5,Southwest District,FDIC,432432,COMMERCIAL LENDING,4,AL,1113,Alabama,0.0,1,36867
9,25,"900 Second Avenue, Sw",296854.0,NM,CALL,46,STATE,State Agency,STATE,Cullman,21,United States,0.0,265244.0,265244.0,0,,5,Atlanta,6,Atlanta,DIF,,,CB,Merchants Bank of Alabama,5,Southwest District,FDIC,113937,COMMERCIAL LENDING,4,AL,1043,Alabama,0.0,1,35055
11,33,819 20th St,370697.0,NM,CALL,47,STATE,State Agency,STATE,Haleyville,21,United States,0.0,293591.0,293591.0,16141,,5,Atlanta,6,Atlanta,DIF,,,CB,Traders & Farmers Bank,5,Southwest District,FDIC,390336,ALL OTHER < $1 BILLION,8,AL,1133,Alabama,0.0,1,35565
12,34,146 West Front Street,59183.0,NM,CALL,49,STATE,State Agency,STATE,Evergreen,21,,0.0,50751.0,50751.0,0,,5,Atlanta,6,Atlanta,DIF,,,CB,Bank of Evergreen,5,Southwest District,FDIC,560438,ALL OTHER < $1 BILLION,8,AL,1035,Alabama,1.0,1,36401
14,37,200 4th Avenue Sw,148500.0,NM,CALL,50,STATE,State Agency,STATE,Red Bay,21,United States,0.0,126999.0,126999.0,13450,,5,Atlanta,6,Atlanta,DIF,,,CB,Community Spirit Bank,5,Southwest District,FDIC,470032,ALL OTHER < $1 BILLION,8,AL,1059,Alabama,0.0,1,35582
15,40,44825 Highway 17,159361.0,NM,CALL,51,STATE,State Agency,STATE,Vernon,21,United States,0.0,133076.0,133076.0,14338,,5,Atlanta,6,Atlanta,DIF,,,CB,The Bank of Vernon,5,Southwest District,FDIC,382537,COMMERCIAL LENDING,4,AL,1075,Alabama,0.0,1,35592
17,43,236 Bankhead Highway,241858.0,NM,CALL,52,STATE,State Agency,STATE,Winfield,21,United States,0.0,144411.0,144411.0,12748,,5,Atlanta,6,Atlanta,DIF,,,CB,The Citizens Bank of Winfield,5,Southwest District,FDIC,293437,OTHER < $1 BILLION,7,AL,1093,Alabama,1.0,1,35594
19,48,Sixth And Blount Streets,284421.0,NM,CALL,54,STATE,State Agency,STATE,Altoona,21,United States,0.0,241389.0,241389.0,9285,,5,Atlanta,6,Atlanta,DIF,,,CB,The Exchange Bank of Alabama,5,Southwest District,FDIC,672537,COMMERCIAL LENDING,4,AL,1055,Alabama,0.0,1,35952
21,55,200 East Nashville Avenue,659241.0,NM,CALL,58,STATE,State Agency,STATE,Atmore,21,United States,0.0,591191.0,591191.0,13590,,5,Atlanta,6,Atlanta,DIF,,,CB,United Bank,5,Southwest District,FDIC,994435,COMMERCIAL LENDING,4,AL,1053,Alabama,0.0,1,36502
22,69,2013 Highway 21 Bypass,69727.0,NM,CALL,70,STATE,State Agency,STATE,Monroeville,21,United States,0.0,59362.0,59362.0,0,,5,Atlanta,6,Atlanta,DIF,,,CB,Peoples Exchange Bank,5,Southwest District,FDIC,42037,COMMERCIAL LENDING,4,AL,1099,Alabama,1.0,1,36460
23,70,11025 Hwy 25,322693.0,SM,CALL,72,STATE,State Agency,STATE,Calera,13,United States,0.0,283983.0,283983.0,9282,,5,Atlanta,6,Atlanta,DIF,,,CB,Central State Bank,5,Southwest District,FED,353238,COMMERCIAL LENDING,4,AL,1117,Alabama,0.0,1,35040
26,76,3251 Ross Clark Circle,179633.0,NM,CALL,77,STATE,State Agency,STATE,Dothan,21,United States,0.0,142529.0,142529.0,10489,,5,Atlanta,6,Atlanta,DIF,,,CB,BankSouth,5,Southwest District,FDIC,194936,COMMERCIAL LENDING,4,AL,1069,Alabama,0.0,1,36303
27,77,201 South Main Street,127200.0,SM,CALL,81,STATE,State Agency,STATE,Warren,13,,0.0,100756.0,100756.0,13922,,13,Dallas,8,St. Louis,DIF,,,CB,Warren Bank and Trust Company,5,Southwest District,FED,748441,OTHER < $1 BILLION,7,AR,5011,Arkansas,0.0,1,71671
30,89,"3710 Southern Hills Boulevard, Suite 100",534954.0,NM,CALL,88,STATE,State Agency,STATE,Rogers,21,United States,0.0,432754.0,432754.0,10660,,13,Dallas,8,St. Louis,DIF,,,CB,Generations Bank,5,Southwest District,FDIC,329345,COMMERCIAL LENDING,4,AR,5007,Arkansas,0.0,1,72758
32,94,"3878 North Crossover Road, Suite 20",655502.0,NM,CALL,89,STATE,State Agency,STATE,Fayetteville,21,United States,0.0,542048.0,542048.0,10291,,13,Dallas,8,St. Louis,DIF,,,CB,Signature Bank of Arkansas,5,Southwest District,FDIC,3350724,COMMERCIAL LENDING,4,AR,5143,Arkansas,0.0,1,72703
34,97,212 West Gaines Street,209563.0,SM,CALL,90,STATE,State Agency,STATE,Monticello,13,United States,0.0,177262.0,177262.0,12628,,13,Dallas,8,St. Louis,DIF,,,CB,Commercial Bank & Trust Company,5,Southwest District,FED,23643,COMMERCIAL LENDING,4,AR,5043,Arkansas,0.0,1,71655
36,102,Commerce And Main Streets,61207.0,NM,CALL,93,STATE,State Agency,STATE,Sparkman,21,United States,0.0,49538.0,49538.0,12630,,13,Dallas,8,St. Louis,DIF,,,CB,Riverside Bank,5,Southwest District,FDIC,977045,COMMERCIAL LENDING,4,AR,5039,Arkansas,0.0,1,71763
37,103,104 S Main Street,109493.0,SM,CALL,94,STATE,State Agency,STATE,Warren,13,United States,0.0,97129.0,97129.0,0,,13,Dallas,8,St. Louis,DIF,,,CB,First State Bank of Warren,5,Southwest District,FED,843542,OTHER < $1 BILLION,7,AR,5011,Arkansas,0.0,1,71671
40,108,503 E Antioch Street,133598.0,NM,CALL,99,STATE,State Agency,STATE,Delight,21,,0.0,105506.0,105506.0,0,,13,Dallas,8,St. Louis,DIF,,,CB,Bank of Delight,5,Southwest District,FDIC,455945,AGRICULTURAL,2,AR,5109,Arkansas,0.0,1,71940
41,110,East 2nd And Main Streets,67003.0,NM,CALL,101,STATE,State Agency,STATE,Prescott,21,United States,0.0,56515.0,56515.0,12621,,13,Dallas,8,St. Louis,DIF,,,CB,Bank of Prescott,5,Southwest District,FDIC,967943,ALL OTHER < $1 BILLION,8,AR,5099,Arkansas,1.0,1,71857
43,114,137 S Main Street,118461.0,SM,CALL,105,STATE,State Agency,STATE,Cave City,13,United States,0.0,95784.0,95784.0,13834,,13,Dallas,8,St. Louis,DIF,,,CB,Bank of Cave City,5,Southwest District,FED,629148,AGRICULTURAL,2,AR,5135,Arkansas,0.0,1,72521
44,116,297 Madison Street,41228.0,NM,CALL,107,STATE,State Agency,STATE,Clarendon,21,United States,0.0,35514.0,35514.0,0,,13,Dallas,8,St. Louis,DIF,,,CB,The Merchants & Planters Bank,5,Southwest District,FDIC,691042,OTHER < $1 BILLION,7,AR,5095,Arkansas,1.0,1,72029
46,118,Pride And Main,212172.0,NM,CALL,109,STATE,State Agency,STATE,Horatio,21,United States,0.0,187040.0,187040.0,0,,13,Dallas,8,St. Louis,DIF,,,CB,Horatio State Bank,5,Southwest District,FDIC,458142,CONSUMER LENDING,6,AR,5133,Arkansas,0.0,1,71842
48,193,17901 Chenal Parkway,22960731.0,NM,CALL,110,STATE,State Agency,STATE,Little Rock,21,,0.0,18186215.0,18186215.0,9592,,13,Dallas,8,St. Louis,DIF,,,CB,Bank OZK,5,Southwest District,FDIC,107244,COMMERCIAL LENDING,4,AR,5119,Arkansas,0.0,1,72223
50,404,815 Colorado Avenue,6824961.0,N,CALL,131,FED,Comptroller of the Currency,OCC,Stuart,3,United States,0.0,5541272.0,5541272.0,0,,5,Atlanta,6,Atlanta,DIF,,,CB,Seacoast National Bank,5,Southwest District,OCC,34537,COMMERCIAL LENDING,4,FL,12085,Florida,0.0,1,34994
51,409,141 South Wayne Street,261883.0,NM,CALL,147,STATE,State Agency,STATE,Milledgeville,21,United States,0.0,231180.0,231180.0,0,,5,Atlanta,6,Atlanta,DIF,,,CB,Century Bank and Trust,5,Southwest District,FDIC,944337,COMMERCIAL LENDING,4,GA,13009,Georgia,0.0,1,31061
54,412,133 North Main Street,226415.0,NM,CALL,148,STATE,State Agency,STATE,Madison,21,United States,0.0,193525.0,193525.0,11273,,5,Atlanta,6,Atlanta,DIF,,,CB,Bank of Madison,5,Southwest District,FDIC,752831,COMMERCIAL LENDING,4,GA,13211,Georgia,0.0,1,30650
56,416,22 South Tallahassee Street,126075.0,NM,CALL,149,STATE,State Agency,STATE,Hazlehurst,21,United States,0.0,108782.0,108782.0,0,,5,Atlanta,6,Atlanta,DIF,,,CB,Bank of Hazlehurst,5,Southwest District,FDIC,628039,AGRICULTURAL,2,GA,13161,Georgia,0.0,1,31539
58,419,245 Ne Railroad St.,176409.0,NM,CALL,155,STATE,State Agency,STATE,Alapaha,21,United States,0.0,156661.0,156661.0,14550,,5,Atlanta,6,Atlanta,DIF,,,CB,Bank of Alapaha,5,Southwest District,FDIC,986935,COMMERCIAL LENDING,4,GA,13019,Georgia,0.0,1,31622
60,422,250 West Hancock Street,258816.0,NM,CALL,160,STATE,State Agency,STATE,Milledgeville,21,United States,0.0,219924.0,219924.0,12322,,5,Atlanta,6,Atlanta,DIF,,,CB,Exchange Bank,5,Southwest District,FDIC,613839,COMMERCIAL LENDING,4,GA,13009,Georgia,0.0,1,31061
62,430,318 South Hill Street,285121.0,N,CALL,169,FED,Comptroller of the Currency,OCC,Griffin,3,,0.0,249128.0,249128.0,12439,,5,Atlanta,6,Atlanta,DIF,,,CB,First National Bank of Griffin,5,Southwest District,OCC,563233,COMMERCIAL LENDING,4,GA,13255,Georgia,0.0,1,30224
64,435,26 West Monroe Street,82757.0,NM,CALL,170,STATE,State Agency,STATE,Talbotton,21,,0.0,73414.0,73414.0,0,,5,Atlanta,6,Atlanta,DIF,,,CB,The Peoples Bank of Georgia,5,Southwest District,FDIC,272030,ALL OTHER < $1 BILLION,8,GA,13263,Georgia,0.0,1,31827
66,450,685 Griffin Street,1430678.0,NM,CALL,172,STATE,State Agency,STATE,Zebulon,21,United States,0.0,1267584.0,1267584.0,10091,,5,Atlanta,6,Atlanta,DIF,,,CB,United Bank,5,Southwest District,FDIC,37435,COMMERCIAL LENDING,4,GA,13231,Georgia,0.0,1,30295
68,455,102 N. Church Street,186719.0,NM,CALL,175,STATE,State Agency,STATE,Crawford,21,United States,0.0,156054.0,156054.0,0,,5,Atlanta,6,Atlanta,DIF,,,CB,The Commercial Bank,5,Southwest District,FDIC,469737,COMMERCIAL LENDING,4,GA,13221,Georgia,0.0,1,30630
70,459,76 E. Main Street,60021.0,NM,CALL,178,STATE,State Agency,STATE,Woodland,21,United States,0.0,52927.0,52927.0,9191,,5,Atlanta,6,Atlanta,DIF,,,CB,Talbot State Bank,5,Southwest District,FDIC,577230,ALL OTHER < $1 BILLION,8,GA,13263,Georgia,0.0,1,31836
71,460,6 College Street,105203.0,NM,CALL,183,STATE,State Agency,STATE,Mcrae,21,,0.0,84074.0,84074.0,0,,5,Atlanta,6,Atlanta,DIF,,,CB,The Merchants & Citizens Bank,5,Southwest District,FDIC,784430,OTHER < $1 BILLION,7,GA,13271,Georgia,1.0,1,31055
73,469,300 South Main Street,584145.0,NM,CALL,193,STATE,State Agency,STATE,Hinesville,21,United States,0.0,522318.0,522318.0,0,,5,Atlanta,6,Atlanta,DIF,,,CB,The Heritage Bank,5,Southwest District,FDIC,507330,COMMERCIAL LENDING,4,GA,13179,Georgia,0.0,1,31313
75,478,101 West Montgomery Street,304683.0,NM,CALL,197,STATE,State Agency,STATE,Francesville,21,United States,0.0,255854.0,255854.0,9807,,9,Chicago,7,Chicago,DIF,,,CB,Alliance Bank,3,Central District,FDIC,493741,AGRICULTURAL,2,IN,18131,Indiana,0.0,1,47946
77,485,18 East Washington Street,219192.0,NM,CALL,210,STATE,State Agency,STATE,Roachdale,21,United States,0.0,192604.0,192604.0,9713,,9,Chicago,7,Chicago,DIF,,,CB,Tri-County Bank & Trust Company,3,Central District,FDIC,914545,AGRICULTURAL,2,IN,18133,Indiana,0.0,1,46172
78,489,121 S Marion Ave,332073.0,SM,CALL,214,STATE,State Agency,STATE,Washington,13,United States,0.0,265483.0,265483.0,10977,,11,Kansas City,7,Chicago,DIF,,,CB,Washington State Bank,4,Midwest District,FED,433943,AGRICULTURAL,2,IA,19183,Iowa,0.0,1,52353
80,493,1001 Main St,33753.0,NM,CALL,223,STATE,State Agency,STATE,Manson,21,United States,0.0,29187.0,29187.0,0,,11,Kansas City,7,Chicago,DIF,,,CB,Manson State Bank,4,Midwest District,FDIC,868442,AGRICULTURAL,2,IA,19025,Iowa,1.0,1,50563
81,494,100 South Main,35596.0,NM,CALL,225,STATE,State Agency,STATE,Crawfordsville,21,United States,0.0,30814.0,30814.0,0,,11,Kansas City,7,Chicago,DIF,,,CB,Peoples Savings Bank,4,Midwest District,FDIC,868844,AGRICULTURAL,2,IA,19183,Iowa,0.0,1,52621
84,497,505 East Main Street,116501.0,NM,CALL,226,STATE,State Agency,STATE,Panora,21,United States,0.0,95061.0,95061.0,0,,11,Kansas City,7,Chicago,DIF,,,CB,Guthrie County State Bank,4,Midwest District,FDIC,969844,AGRICULTURAL,2,IA,19077,Iowa,0.0,1,50216
86,504,525 North Main Street,941985.0,NM,CALL,228,STATE,State Agency,STATE,Sioux Center,21,United States,0.0,745754.0,745754.0,12625,,11,Kansas City,7,Chicago,DIF,,,CB,American State Bank,4,Midwest District,FDIC,735441,AGRICULTURAL,2,IA,19167,Iowa,0.0,1,51250
88,510,1812 Highway Boulevard,202605.0,NM,CALL,230,STATE,State Agency,STATE,Spencer,21,United States,0.0,163096.0,163096.0,16077,,11,Kansas City,7,Chicago,DIF,,,CB,Community State Bank,4,Midwest District,FDIC,849348,AGRICULTURAL,2,IA,19041,Iowa,0.0,1,51301
89,512,325 W Hwy 30,191436.0,SM,CALL,231,STATE,State Agency,STATE,Carroll,13,United States,0.0,156537.0,156537.0,0,,11,Kansas City,7,Chicago,DIF,,,CB,Commercial Savings Bank,4,Midwest District,FED,194440,COMMERCIAL LENDING,4,IA,19027,Iowa,0.0,1,51401
91,514,126 South Market Street,104806.0,NM,CALL,232,STATE,State Agency,STATE,Solon,21,United States,0.0,71363.0,71363.0,12569,,11,Kansas City,7,Chicago,DIF,,,CB,Solon State Bank,4,Midwest District,FDIC,185448,COMMERCIAL LENDING,4,IA,19103,Iowa,0.0,1,52333
94,518,233 North Main Street,96858.0,NM,CALL,234,STATE,State Agency,STATE,Pocahontas,21,United States,0.0,68030.0,68030.0,0,,11,Kansas City,7,Chicago,DIF,,,CB,Pocahontas State Bank,4,Midwest District,FDIC,402846,AGRICULTURAL,2,IA,19151,Iowa,0.0,1,50574
95,520,109 West 2nd Street,144212.0,NM,CALL,235,STATE,State Agency,STATE,Sutherland,21,United States,0.0,94251.0,94251.0,0,,11,Kansas City,7,Chicago,DIF,,,CB,Security State Bank,4,Midwest District,FDIC,425845,AGRICULTURAL,2,IA,19141,Iowa,0.0,1,51058
98,523,1202 2nd Street,287712.0,NM,CALL,245,STATE,State Agency,STATE,Perry,21,United States,0.0,259951.0,259951.0,13420,,11,Kansas City,7,Chicago,DIF,,,CB,Raccoon Valley Bank,4,Midwest District,FDIC,102342,AGRICULTURAL,2,IA,19049,Iowa,0.0,1,50220
100,527,"4800 George Mills Civic Parkway, Suite 100",146966.0,NM,CALL,248,STATE,State Agency,STATE,West Des Moines,21,United States,0.0,107757.0,107757.0,11064,,11,Kansas City,7,Chicago,DIF,,,CB,State Savings Bank,4,Midwest District,FDIC,762045,COMMERCIAL LENDING,4,IA,19153,Iowa,0.0,1,50265
102,529,401 Main Street,68060.0,NM,CALL,251,STATE,State Agency,STATE,Mapleton,21,United States,0.0,55506.0,55506.0,15673,,11,Kansas City,7,Chicago,DIF,,,CB,Valley Bank & Trust,4,Midwest District,FDIC,943143,AGRICULTURAL,2,IA,19133,Iowa,0.0,1,51034
103,530,2206 South Center Street,195588.0,SM,CALL,252,STATE,State Agency,STATE,Marshalltown,13,United States,0.0,155999.0,155999.0,10067,,11,Kansas City,7,Chicago,DIF,,,CB,Pinnacle Bank,4,Midwest District,FED,365745,COMMERCIAL LENDING,4,IA,19127,Iowa,1.0,1,50158
104,531,100 Harvest Drive,1370827.0,NM,CALL,253,STATE,State Agency,STATE,Luana,21,United States,0.0,883482.0,883482.0,10130,,11,Kansas City,7,Chicago,DIF,,,CB,Luana Savings Bank,4,Midwest District,FDIC,674849,AGRICULTURAL,2,IA,19043,Iowa,0.0,1,52156
106,536,223 Chestnut Street,214807.0,NM,CALL,254,STATE,State Agency,STATE,Atlantic,21,United States,0.0,185534.0,185534.0,0,,11,Kansas City,7,Chicago,DIF,,,CB,First Whitney Bank and Trust,4,Midwest District,FDIC,740249,AGRICULTURAL,2,IA,19029,Iowa,0.0,1,50022
108,538,260 Main Street,67684.0,NM,CALL,256,STATE,State Agency,STATE,Melvin,21,United States,0.0,55007.0,55007.0,0,,11,Kansas City,7,Chicago,DIF,,,CB,Melvin Savings Bank,4,Midwest District,FDIC,764441,AGRICULTURAL,2,IA,19143,Iowa,0.0,1,51350
111,542,1040 East Main Street,3459185.0,NM,CALL,258,STATE,State Agency,STATE,Louisville,21,United States,0.0,2884737.0,2884737.0,9364,,9,Chicago,8,St. Louis,DIF,,,CB,Stock Yards Bank & Trust Company,3,Central District,FDIC,317342,COMMERCIAL LENDING,4,KY,21111,Kentucky,0.0,1,40206
113,585,411 New Brodhead Road,144969.0,NM,CALL,262,STATE,State Agency,STATE,Mount Vernon,21,United States,0.0,117304.0,117304.0,14495,,9,Chicago,4,Cleveland,DIF,,,CB,Citizens Bank,3,Central District,FDIC,840019,COMMERCIAL LENDING,4,KY,21203,Kentucky,0.0,1,40456
114,587,2500 Broadway,189995.0,NM,CALL,267,STATE,State Agency,STATE,Catlettsburg,21,,0.0,144915.0,144915.0,0,,9,Chicago,4,Cleveland,DIF,,,CB,Kentucky Farmers Bank Corporation,3,Central District,FDIC,683814,ALL OTHER < $1 BILLION,8,KY,21019,Kentucky,0.0,1,41129
117,592,201 N Main Street,201149.0,NM,CALL,275,STATE,State Agency,STATE,Morgantown,21,United States,0.0,168837.0,168837.0,0,,9,Chicago,8,St. Louis,DIF,,,CB,"Morgantown Bank & Trust Company, Incorporated",3,Central District,FDIC,330949,ALL OTHER < $1 BILLION,8,KY,21031,Kentucky,0.0,1,42261
119,597,22023 Main Street,126705.0,NM,CALL,281,STATE,State Agency,STATE,Hyden,21,United States,0.0,102195.0,102195.0,9820,,9,Chicago,4,Cleveland,DIF,,,CB,Hyden Citizens Bank,3,Central District,FDIC,211114,COMMERCIAL LENDING,4,KY,21131,Kentucky,0.0,1,41749
120,599,218 W. Main Street,81161.0,NM,CALL,284,STATE,State Agency,STATE,Auburn,21,United States,0.0,70371.0,70371.0,9664,,9,Chicago,8,St. Louis,DIF,,,CB,Auburn Banking Company,3,Central District,FDIC,811541,COMMERCIAL LENDING,4,KY,21141,Kentucky,0.0,1,42206
123,603,221 West Fifth Street,1249390.0,SM,CALL,287,STATE,State Agency,STATE,Benton,13,United States,0.0,1129376.0,1129376.0,11962,,9,Chicago,8,St. Louis,DIF,,,CB,Community Financial Services Bank,3,Central District,FED,698144,COMMERCIAL LENDING,4,KY,21157,Kentucky,0.0,1,42025
124,608,215 Mountain Parkway Spur,46237.0,NM,CALL,288,STATE,State Agency,STATE,Campton,21,United States,0.0,38929.0,38929.0,10627,,9,Chicago,4,Cleveland,DIF,,,CB,Farmers & Traders Bank of Campton,3,Central District,FDIC,839817,ALL OTHER < $1 BILLION,8,KY,21237,Kentucky,1.0,1,41301
125,609,1362 Hindman Bypass,209512.0,NM,CALL,289,STATE,State Agency,STATE,Hindman,21,United States,0.0,173945.0,173945.0,0,,9,Chicago,4,Cleveland,DIF,,,CB,Bank of Hindman,3,Central District,FDIC,763211,COMMERCIAL LENDING,4,KY,21119,Kentucky,0.0,1,41822
127,611,123 Main Street N,136003.0,NM,CALL,291,STATE,State Agency,STATE,Mc Kee,21,,0.0,93755.0,93755.0,12003,,9,Chicago,4,Cleveland,DIF,,,CB,Jackson County Bank,3,Central District,FDIC,1016718,AGRICULTURAL,2,KY,21109,Kentucky,0.0,1,40447
130,629,50 North Main,744569.0,SM,CALL,292,STATE,State Agency,STATE,Monticello,13,United States,0.0,654055.0,654055.0,13745,,9,Chicago,8,St. Louis,DIF,,,CB,The Monticello Banking Company,3,Central District,FED,266945,COMMERCIAL LENDING,4,KY,21231,Kentucky,0.0,1,42633
131,634,109 N Main Street,215783.0,NM,CALL,296,STATE,State Agency,STATE,Brownsville,21,United States,0.0,174267.0,174267.0,10546,,9,Chicago,8,St. Louis,DIF,,,CB,Bank of Edmonson County,3,Central District,FDIC,903240,ALL OTHER < $1 BILLION,8,KY,21061,Kentucky,0.0,1,42210
134,639,287 North Main St,131326.0,SM,CALL,297,STATE,State Agency,STATE,Lewisburg,13,United States,0.0,103398.0,103398.0,9961,,9,Chicago,8,St. Louis,DIF,,,CB,Lewisburg Banking Company,3,Central District,FED,580847,ALL OTHER < $1 BILLION,8,KY,21141,Kentucky,0.0,1,42256
136,646,47 South Main Street,292405.0,NM,CALL,303,STATE,State Agency,STATE,Whitley City,21,United States,0.0,238034.0,238034.0,11755,,9,Chicago,4,Cleveland,DIF,,,CB,United Cumberland Bank,3,Central District,FDIC,425818,COMMERCIAL LENDING,4,KY,21147,Kentucky,0.0,1,42653
137,648,220 East Clay Street,64044.0,NM,CALL,304,STATE,State Agency,STATE,Clinton,21,United States,0.0,42470.0,42470.0,15798,,9,Chicago,8,St. Louis,DIF,,,CB,Clinton Bank,3,Central District,FDIC,782548,AGRICULTURAL,2,KY,21105,Kentucky,1.0,1,42031
139,651,4743 Main Street,240421.0,NM,CALL,306,STATE,State Agency,STATE,Zachary,21,United States,0.0,209921.0,209921.0,13006,,13,Dallas,6,Atlanta,DIF,,,CB,Bank of Zachary,5,Southwest District,FDIC,860334,COMMERCIAL LENDING,4,LA,22033,Louisiana,0.0,1,70791
140,652,12225 St. Helena Street,137624.0,NM,CALL,307,STATE,State Agency,STATE,Clinton,21,United States,0.0,111375.0,111375.0,0,,13,Dallas,6,Atlanta,DIF,,,CB,Landmark Bank,5,Southwest District,FDIC,535034,COMMERCIAL LENDING,4,LA,22037,Louisiana,0.0,1,70722
142,656,102 Davenport Avenue,38313.0,NM,CALL,314,STATE,State Agency,STATE,Mer Rouge,21,,0.0,32933.0,32933.0,0,,13,Dallas,11,Dallas,DIF,,,CB,The Mer Rouge State Bank,5,Southwest District,FDIC,741956,AGRICULTURAL,2,LA,22067,Louisiana,1.0,1,71261
143,657,316 Court Square,123054.0,NM,CALL,321,STATE,State Agency,STATE,Lexington,21,United States,0.0,104844.0,104844.0,0,,13,Dallas,8,St. Louis,DIF,,,CB,Holmes County Bank & Trust Company,5,Southwest District,FDIC,725741,OTHER < $1 BILLION,7,MS,28051,Mississippi,0.0,1,39095
146,667,814 Main Street,430474.0,NM,CALL,324,STATE,State Agency,STATE,Columbia,21,United States,0.0,376773.0,376773.0,12223,,13,Dallas,6,Atlanta,DIF,,,CB,Citizens Bank,5,Southwest District,FDIC,514132,COMMERCIAL LENDING,4,MS,28091,Mississippi,0.0,1,39429
148,672,308 Raymond Square,88456.0,NM,CALL,327,STATE,State Agency,STATE,Raymond,21,,0.0,78713.0,78713.0,12538,,13,Dallas,6,Atlanta,DIF,,,CB,Merchants and Planters Bank,5,Southwest District,FDIC,579636,COMMERCIAL LENDING,4,MS,28049,Mississippi,0.0,1,39154
150,688,Lameuse And Howard Avenues,619713.0,NM,CALL,340,STATE,State Agency,STATE,Biloxi,21,United States,0.0,493817.0,493817.0,0,,13,Dallas,6,Atlanta,DIF,,,CB,"The Peoples Bank, Biloxi, Mississippi",5,Southwest District,FDIC,870539,COMMERCIAL LENDING,4,MS,28047,Mississippi,0.0,1,39533
151,692,111 3rd Avenue South,100189.0,SM,CALL,341,STATE,State Agency,STATE,Wolf Point,13,United States,0.0,77378.0,77378.0,13106,,14,San Francisco,9,Minneapolis,DIF,,,CB,Western Bank of Wolf Point,4,Midwest District,FED,445852,AGRICULTURAL,2,MT,30085,Montana,1.0,1,59201
152,693,103 Main Street,413757.0,SM,CALL,342,STATE,State Agency,STATE,Victor,13,United States,0.0,362948.0,362948.0,15340,,14,San Francisco,9,Minneapolis,DIF,,,CB,Farmers State Bank,4,Midwest District,FED,475354,COMMERCIAL LENDING,4,MT,30081,Montana,0.0,1,59875
154,702,116 S Main Street,140527.0,NM,CALL,352,STATE,State Agency,STATE,Baker,21,United States,0.0,123158.0,123158.0,0,,14,San Francisco,9,Minneapolis,DIF,,,CB,The Bank of Baker,4,Midwest District,FDIC,222558,AGRICULTURAL,2,MT,30025,Montana,1.0,1,59313
155,703,117 Central Avenue,39145.0,SM,CALL,358,STATE,State Agency,STATE,Cascade,13,,0.0,34495.0,34495.0,0,,14,San Francisco,9,Minneapolis,DIF,,,CB,Stockmens Bank,4,Midwest District,FED,667252,AGRICULTURAL,2,MT,30013,Montana,1.0,1,59421
157,708,201 North Higgins Avenue,313211.0,SM,CALL,363,STATE,State Agency,STATE,Missoula,13,United States,0.0,247161.0,247161.0,11587,,14,San Francisco,9,Minneapolis,DIF,,,CB,"First Montana Bank, Inc.",4,Midwest District,FED,613156,COMMERCIAL LENDING,4,MT,30063,Montana,0.0,1,59802
159,725,420 Third Avenue,1020035.0,SM,CALL,384,STATE,State Agency,STATE,Gallipolis,13,United States,0.0,852958.0,852958.0,10041,,9,Chicago,4,Cleveland,DIF,,,CB,The Ohio Valley Bank Company,3,Central District,FED,498317,COMMERCIAL LENDING,4,OH,39053,Ohio,0.0,1,45631
160,729,103 East Wiggin Street,56209.0,NM,CALL,389,STATE,State Agency,STATE,Gambier,21,United States,0.0,48195.0,48195.0,14381,,9,Chicago,4,Cleveland,DIF,,,CB,The Peoples Bank,3,Central District,FDIC,378110,CONSUMER LENDING,6,OH,39083,Ohio,0.0,1,43022
163,733,6th And Washington,26573.0,NM,CALL,399,STATE,State Agency,STATE,Ryan,21,,0.0,22946.0,22946.0,0,,13,Dallas,10,Kansas City,DIF,,,CB,First Summit Bank,5,Southwest District,FDIC,514356,AGRICULTURAL,2,OK,40067,Oklahoma,0.0,1,73565
